month_TA1305000030,week_TA1305000030,day_TA1305000030,hour_TA1305000030,month_TA1306000010,week_TA1306000010,day_TA1306000010,hour_TA1306000010,month_TA1307000120,week_TA1307000120,day_TA1307000120,hour_TA1307000120,month_TA1307000126,week_TA1307000126,day_TA1307000126,hour_TA1307000126,y
0,0,0,0,0,0,0,0,9,2,1,10,0,0,0,0,1
0,0,0,0,0,0,0,0,9,2,1,11,0,0,0,0,4
0,0,0,0,0,0,0,0,9,2,1,12,0,0,0,0,7
0,0,0,0,0,0,0,0,9,2,1,13,0,0,0,0,10
0,0,0,0,0,0,0,0,9,2,1,14,0,0,0,0,4
0,0,0,0,0,0,0,0,9,2,1,15,0,0,0,0,5
0,0,0,0,0,0,0,0,9,2,1,16,0,0,0,0,8
0,0,0,0,0,0,0,0,9,2,1,17,0,0,0,0,25
0,0,0,0,0,0,0,0,9,2,1,18,0,0,0,0,16
0,0,0,0,0,0,0,0,9,2,1,19,0,0,0,0,7
0,0,0,0,0,0,0,0,9,2,1,20,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,1,21,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,1,22,0,0,0,0,8
0,0,0,0,0,0,0,0,9,2,1,23,0,0,0,0,6
0,0,0,0,0,0,0,0,9,2,8,3,0,0,0,0,1
0,0,0,0,0,0,0,0,9,2,8,6,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,8,7,0,0,0,0,12
0,0,0,0,0,0,0,0,9,2,8,8,0,0,0,0,7
0,0,0,0,0,0,0,0,9,2,8,9,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,8,10,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,8,11,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,8,12,0,0,0,0,4
0,0,0,0,0,0,0,0,9,2,8,13,0,0,0,0,8
0,0,0,0,0,0,0,0,9,2,8,14,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,8,15,0,0,0,0,9
0,0,0,0,0,0,0,0,9,2,8,16,0,0,0,0,10
0,0,0,0,0,0,0,0,9,2,8,17,0,0,0,0,18
0,0,0,0,0,0,0,0,9,2,8,18,0,0,0,0,16
0,0,0,0,0,0,0,0,9,2,8,19,0,0,0,0,12
0,0,0,0,0,0,0,0,9,2,8,20,0,0,0,0,6
0,0,0,0,0,0,0,0,9,2,8,21,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,8,22,0,0,0,0,1
0,0,0,0,0,0,0,0,9,2,8,23,0,0,0,0,10
0,0,0,0,0,0,0,0,9,2,15,0,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,15,3,0,0,0,0,1
0,0,0,0,0,0,0,0,9,2,15,5,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,15,6,0,0,0,0,9
0,0,0,0,0,0,0,0,9,2,15,7,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,15,8,0,0,0,0,5
0,0,0,0,0,0,0,0,9,2,15,9,0,0,0,0,1
0,0,0,0,0,0,0,0,9,2,15,10,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,15,11,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,15,12,0,0,0,0,6
0,0,0,0,0,0,0,0,9,2,15,13,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,15,14,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,15,15,0,0,0,0,7
0,0,0,0,0,0,0,0,9,2,15,16,0,0,0,0,8
0,0,0,0,0,0,0,0,9,2,15,17,0,0,0,0,20
0,0,0,0,0,0,0,0,9,2,15,18,0,0,0,0,21
0,0,0,0,0,0,0,0,9,2,15,19,0,0,0,0,12
0,0,0,0,0,0,0,0,9,2,15,20,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,15,21,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,15,22,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,15,23,0,0,0,0,4
0,0,0,0,0,0,0,0,9,2,22,5,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,22,6,0,0,0,0,4
0,0,0,0,0,0,0,0,9,2,22,7,0,0,0,0,10
0,0,0,0,0,0,0,0,9,2,22,8,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,22,11,0,0,0,0,4
0,0,0,0,0,0,0,0,9,2,22,12,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,22,13,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,22,14,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,22,15,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,22,16,0,0,0,0,7
0,0,0,0,0,0,0,0,9,2,22,17,0,0,0,0,8
0,0,0,0,0,0,0,0,9,2,22,18,0,0,0,0,14
0,0,0,0,0,0,0,0,9,2,22,19,0,0,0,0,6
0,0,0,0,0,0,0,0,9,2,22,20,0,0,0,0,4
0,0,0,0,0,0,0,0,9,2,22,21,0,0,0,0,6
0,0,0,0,0,0,0,0,9,2,22,22,0,0,0,0,4
0,0,0,0,0,0,0,0,9,2,22,23,0,0,0,0,1
0,0,0,0,0,0,0,0,9,2,29,3,0,0,0,0,1
0,0,0,0,0,0,0,0,9,2,29,5,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,29,6,0,0,0,0,6
0,0,0,0,0,0,0,0,9,2,29,7,0,0,0,0,12
0,0,0,0,0,0,0,0,9,2,29,8,0,0,0,0,8
0,0,0,0,0,0,0,0,9,2,29,9,0,0,0,0,4
0,0,0,0,0,0,0,0,9,2,29,10,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,29,11,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,29,12,0,0,0,0,5
0,0,0,0,0,0,0,0,9,2,29,13,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,29,14,0,0,0,0,3
0,0,0,0,0,0,0,0,9,2,29,15,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,29,16,0,0,0,0,9
0,0,0,0,0,0,0,0,9,2,29,17,0,0,0,0,16
0,0,0,0,0,0,0,0,9,2,29,18,0,0,0,0,18
0,0,0,0,0,0,0,0,9,2,29,19,0,0,0,0,13
0,0,0,0,0,0,0,0,9,2,29,20,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,29,21,0,0,0,0,10
0,0,0,0,0,0,0,0,9,2,29,22,0,0,0,0,4
0,0,0,0,0,0,0,0,9,2,29,23,0,0,0,0,3
0,0,0,0,0,0,0,0,9,3,2,0,0,0,0,0,5
0,0,0,0,0,0,0,0,9,3,2,3,0,0,0,0,1
0,0,0,0,0,0,0,0,9,3,2,6,0,0,0,0,3
0,0,0,0,0,0,0,0,9,3,2,7,0,0,0,0,2
0,0,0,0,0,0,0,0,9,3,2,8,0,0,0,0,4
0,0,0,0,0,0,0,0,9,3,2,9,0,0,0,0,2
0,0,0,0,0,0,0,0,9,3,2,10,0,0,0,0,4
